Index Entry,Function Name,Address
33,_Z15funct_group2_23v,0x29a4
34,_Z15funct_group3_47v,0x2a08
35,_Z15funct_group4_95v,0x2a6c
36,_Z15funct_group6_11v,0x2ad0
37,_Z19initialize_platformv,0x2b34
38,search_EIT_table,0x2b98
39,_ZN3hal5lpc407maximumEf,0x2bfc
40,raise,0x2c58
41,_start,0x2cb4
42,restore_non_core_regs,0x2d0c
43,__libc_init_array,0x2d64
44,_Z14funct_group0_4v,0x2db4
45,_ZN3hal5lpc4013get_frequencyENS0_10peripheralE,0x2e00
46,_ZnwjSt11align_val_t,0x2e4c
47,_on_exit,0x2e98
48,__malloc_sbrk_aligned,0x2ee4
49,_GLOBAL__sub_I__ZNSt3pmr15memory_resourceD2Ev,0x2f2c
50,_ZNK10__cxxabiv117__class_type_info12__do_dyncastEiNS0_10__sub_kindEPKS0_PKvS3_S5_RNS0_16__dyncast_resultE,0x2f70
51,__gnu_Unwind_Resume,0x2fb4
52,__malloc_grow_chunk,0x2ff4
53,sbrk,0x3034
54,_ZN3hal8cortex_m11dwt_counterC1Ef,0x3074
55,_ZN3hal8cortex_m11dwt_counterC2Ef,0x30b4
56,_Z14funct_group0_0v,0x30f4
57,_Z14funct_group0_1v,0x3130
58,_Z14funct_group0_2v,0x316c
59,_Z14funct_group0_3v,0x31a8
60,_Z14funct_group1_0v,0x31e4
61,_Z14funct_group1_1v,0x3220
62,_Z14funct_group1_2v,0x325c
63,_Z14funct_group1_3v,0x3298
64,_Z14funct_group1_4v,0x32d4
65,_Z14funct_group1_5v,0x3310
66,_Z14funct_group1_6v,0x334c
67,_Z14funct_group1_7v,0x3388
68,_Z14funct_group1_8v,0x33c4
69,_Z14funct_group1_9v,0x3400
70,_Z14funct_group2_0v,0x343c
71,_Z14funct_group2_1v,0x3478
72,_Z14funct_group2_2v,0x34b4
73,_Z14funct_group2_3v,0x34f0
74,_Z14funct_group2_4v,0x352c
75,_Z14funct_group2_5v,0x3568
76,_Z14funct_group2_6v,0x35a4
77,_Z14funct_group2_7v,0x35e0
78,_Z14funct_group2_8v,0x361c
79,_Z14funct_group2_9v,0x3658
80,_Z14funct_group3_0v,0x3694
81,_Z14funct_group3_1v,0x36d0
82,_Z14funct_group3_2v,0x370c
83,_Z14funct_group3_3v,0x3748
84,_Z14funct_group3_4v,0x3784
85,_Z14funct_group3_5v,0x37c0
86,_Z14funct_group3_6v,0x37fc
87,_Z14funct_group3_7v,0x3838
88,_Z14funct_group3_8v,0x3874
89,_Z14funct_group3_9v,0x38b0
90,_Z14funct_group4_0v,0x38ec
91,_Z14funct_group4_1v,0x3928
92,_Z14funct_group4_2v,0x3964
93,_Z14funct_group4_3v,0x39a0
94,_Z14funct_group4_4v,0x39dc
95,_Z14funct_group4_5v,0x3a18
96,_Z14funct_group4_6v,0x3a54
97,_Z14funct_group4_7v,0x3a90
98,_Z14funct_group4_8v,0x3acc
99,_Z14funct_group4_9v,0x3b08
100,_Z14funct_group5_0v,0x3b44
101,_Z14funct_group5_1v,0x3b80
102,_Z14funct_group5_2v,0x3bbc
103,_Z14funct_group5_3v,0x3bf8
104,_Z14funct_group5_4v,0x3c34
105,_Z14funct_group6_0v,0x3c70
106,_Z14funct_group6_1v,0x3cac
107,_Z14funct_group6_2v,0x3ce8
108,_Z14funct_group6_3v,0x3d24
109,_Z14funct_group6_4v,0x3d60
110,_Z14funct_group6_5v,0x3d9c
111,_Z14funct_group6_6v,0x3dd8
112,_Z14funct_group6_7v,0x3e14
113,_Z14funct_group6_8v,0x3e50
114,_Z15funct_group1_10v,0x3e8c
115,_Z15funct_group2_10v,0x3ec8
116,_Z15funct_group2_11v,0x3f04
117,_Z15funct_group2_12v,0x3f40
118,_Z15funct_group2_13v,0x3f7c
119,_Z15funct_group2_14v,0x3fb8
120,_Z15funct_group2_15v,0x3ff4
121,_Z15funct_group2_16v,0x4030
122,_Z15funct_group2_17v,0x406c
123,_Z15funct_group2_18v,0x40a8
124,_Z15funct_group2_19v,0x40e4
125,_Z15funct_group2_20v,0x4120
126,_Z15funct_group2_21v,0x415c
127,_Z15funct_group2_22v,0x4198
128,_Z15funct_group3_10v,0x41d4
129,_Z15funct_group3_11v,0x4210
130,_Z15funct_group3_12v,0x424c
131,_Z15funct_group3_13v,0x4288
132,_Z15funct_group3_14v,0x42c4
133,_Z15funct_group3_15v,0x4300
134,_Z15funct_group3_16v,0x433c
135,_Z15funct_group3_17v,0x4378
136,_Z15funct_group3_18v,0x43b4
137,_Z15funct_group3_19v,0x43f0
138,_Z15funct_group3_20v,0x442c
139,_Z15funct_group3_21v,0x4468
140,_Z15funct_group3_22v,0x44a4
141,_Z15funct_group3_23v,0x44e0
142,_Z15funct_group3_24v,0x451c
143,_Z15funct_group3_25v,0x4558
144,_Z15funct_group3_26v,0x4594
145,_Z15funct_group3_27v,0x45d0
146,_Z15funct_group3_28v,0x460c
147,_Z15funct_group3_29v,0x4648
148,_Z15funct_group3_30v,0x4684
149,_Z15funct_group3_31v,0x46c0
150,_Z15funct_group3_32v,0x46fc
151,_Z15funct_group3_33v,0x4738
152,_Z15funct_group3_34v,0x4774
153,_Z15funct_group3_35v,0x47b0
154,_Z15funct_group3_36v,0x47ec
155,_Z15funct_group3_37v,0x4828
156,_Z15funct_group3_38v,0x4864
157,_Z15funct_group3_39v,0x48a0
158,_Z15funct_group3_40v,0x48dc
159,_Z15funct_group3_41v,0x4918
160,_Z15funct_group3_42v,0x4954
161,_Z15funct_group3_43v,0x4990
162,_Z15funct_group3_44v,0x49cc
163,_Z15funct_group3_45v,0x4a08
164,_Z15funct_group3_46v,0x4a44
165,_Z15funct_group4_10v,0x4a80
166,_Z15funct_group4_11v,0x4abc
167,_Z15funct_group4_12v,0x4af8
168,_Z15funct_group4_13v,0x4b34
169,_Z15funct_group4_14v,0x4b70
170,_Z15funct_group4_15v,0x4bac
171,_Z15funct_group4_16v,0x4be8
172,_Z15funct_group4_17v,0x4c24
173,_Z15funct_group4_18v,0x4c60
174,_Z15funct_group4_19v,0x4c9c
175,_Z15funct_group4_20v,0x4cd8
176,_Z15funct_group4_21v,0x4d14
177,_Z15funct_group4_22v,0x4d50
178,_Z15funct_group4_23v,0x4d8c
179,_Z15funct_group4_24v,0x4dc8
180,_Z15funct_group4_25v,0x4e04
181,_Z15funct_group4_26v,0x4e40
182,_Z15funct_group4_27v,0x4e7c
183,_Z15funct_group4_28v,0x4eb8
184,_Z15funct_group4_29v,0x4ef4
185,_Z15funct_group4_30v,0x4f30
186,_Z15funct_group4_31v,0x4f6c
187,_Z15funct_group4_32v,0x4fa8
188,_Z15funct_group4_33v,0x4fe4
189,_Z15funct_group4_34v,0x5020
190,_Z15funct_group4_35v,0x505c
191,_Z15funct_group4_36v,0x5098
192,_Z15funct_group4_37v,0x50d4
193,_Z15funct_group4_38v,0x5110
194,_Z15funct_group4_39v,0x514c
195,_Z15funct_group4_40v,0x5188
196,_Z15funct_group4_41v,0x51c4
197,_Z15funct_group4_42v,0x5200
198,_Z15funct_group4_43v,0x523c
199,_Z15funct_group4_44v,0x5278
200,_Z15funct_group4_45v,0x52b4
201,_Z15funct_group4_46v,0x52f0
202,_Z15funct_group4_47v,0x532c
203,_Z15funct_group4_48v,0x5368
204,_Z15funct_group4_49v,0x53a4
205,_Z15funct_group4_50v,0x53e0
206,_Z15funct_group4_51v,0x541c
207,_Z15funct_group4_52v,0x5458
208,_Z15funct_group4_53v,0x5494
209,_Z15funct_group4_54v,0x54d0
210,_Z15funct_group4_55v,0x550c
211,_Z15funct_group4_56v,0x5548
212,_Z15funct_group4_57v,0x5584
213,_Z15funct_group4_58v,0x55c0
214,_Z15funct_group4_59v,0x55fc
215,_Z15funct_group4_60v,0x5638
216,_Z15funct_group4_61v,0x5674
217,_Z15funct_group4_62v,0x56b0
218,_Z15funct_group4_63v,0x56ec
219,_Z15funct_group4_64v,0x5728
220,_Z15funct_group4_65v,0x5764
221,_Z15funct_group4_66v,0x57a0
222,_Z15funct_group4_67v,0x57dc
223,_Z15funct_group4_68v,0x5818
224,_Z15funct_group4_69v,0x5854
225,_Z15funct_group4_70v,0x5890
226,_Z15funct_group4_71v,0x58cc
227,_Z15funct_group4_72v,0x5908
228,_Z15funct_group4_73v,0x5944
229,_Z15funct_group4_74v,0x5980
230,_Z15funct_group4_75v,0x59bc
231,_Z15funct_group4_76v,0x59f8
232,_Z15funct_group4_77v,0x5a34
233,_Z15funct_group4_78v,0x5a70
234,_Z15funct_group4_79v,0x5aac
235,_Z15funct_group4_80v,0x5ae8
236,_Z15funct_group4_81v,0x5b24
237,_Z15funct_group4_82v,0x5b60
238,_Z15funct_group4_83v,0x5b9c
239,_Z15funct_group4_84v,0x5bd8
240,_Z15funct_group4_85v,0x5c14
241,_Z15funct_group4_86v,0x5c50
242,_Z15funct_group4_87v,0x5c8c
243,_Z15funct_group4_88v,0x5cc8
244,_Z15funct_group4_89v,0x5d04
245,_Z15funct_group4_90v,0x5d40
246,_Z15funct_group4_91v,0x5d7c
247,_Z15funct_group4_92v,0x5db8
248,_Z15funct_group4_93v,0x5df4
249,_Z15funct_group4_94v,0x5e30
250,_Z15funct_group6_10v,0x5e6c
251,_ZNK10__cxxabiv120__si_class_type_info20__do_find_public_srcEiPKvPKNS_17__class_type_infoES2_,0x5ea8
252,__cxa_guard_acquire,0x5ee4
253,next_unwind_byte,0x5f1c
254,unwind_phase2,0x5f54
255,_ZN2ke13get_rtti_typeEPKv,0x5f8c
256,_ZNK10__cxxabiv117__class_type_info11__do_upcastEPKS0_PPv,0x5fc0
257,_Unwind_VRS_Get,0x5ff4
258,_Unwind_VRS_Set,0x6024
259,_Z41__static_initialization_and_destruction_0ii,0x6054
260,_ZNKSt9type_info7__equalERKS_,0x6080
261,_ZNKSt9type_infoeqERKS_,0x60ac
262,_ZTVN10__cxxabiv117__class_type_infoE,0x60d8
263,_ZTVN10__cxxabiv120__si_class_type_infoE,0x6104
264,_ZTVN10__cxxabiv121__vmi_class_type_infoE,0x6130
265,_ZN2ke15get_index_entryEm,0x615c
266,_ZNK10__cxxabiv117__class_type_info10__do_catchEPKSt9type_infoPPvj,0x6188
267,_ZNK10__cxxabiv120__si_class_type_info11__do_upcastEPKNS_17__class_type_infoEPKvRNS1_15__upcast_resultE,0x61b4
268,__gnu_unwind_get_pr_addr,0x61e0
269,__popcountsi2,0x6208
270,_ZTSN10__cxxabiv121__vmi_class_type_infoE,0x6230
271,_ZTSNSt3pmr12_GLOBAL__N_112newdel_res_tE,0x6258
272,_ZTSN10__cxxabiv120__si_class_type_infoE,0x6280
273,_ZTSNSt3pmr12_GLOBAL__N_110null_res_tE,0x62a8
274,__wrap___cxa_free_exception,0x62cc
275,_ZTSN9__gnu_cxx20recursive_init_errorE,0x62f0
276,_Unwind_Backtrace,0x6314
277,_Unwind_ForcedUnwind,0x6338
278,_Unwind_RaiseException,0x635c
279,_Unwind_Resume,0x6380
280,_Unwind_Resume_or_Rethrow,0x63a4
281,_ZTSN10__cxxabiv117__class_type_infoE,0x63c8
282,___Unwind_Backtrace,0x63ec
283,___Unwind_ForcedUnwind,0x6410
284,___Unwind_RaiseException,0x6434
285,___Unwind_Resume,0x6458
286,___Unwind_Resume_or_Rethrow,0x647c
287,main,0x64a0
288,_ZN3hal8cortex_m11dwt_counter13driver_uptimeEv,0x64c4
289,_ZSt17__throw_bad_allocv,0x64e4
290,__wrap___cxa_end_catch,0x6504
291,_ZN10__cxxabiv117__class_type_infoD0Ev,0x6524
292,_ZN10__cxxabiv120__si_class_type_infoD0Ev,0x6540
293,_ZN10__cxxabiv121__vmi_class_type_infoD0Ev,0x655c
294,_ZN9__gnu_cxx20recursive_init_errorD0Ev,0x6578
295,_ZNSt9bad_allocD0Ev,0x6594
296,_ZTVNSt3pmr12_GLOBAL__N_110null_res_tE,0x65b0
297,_ZTVNSt3pmr12_GLOBAL__N_112newdel_res_tE,0x65cc
298,__aeabi_memcpy,0x65e8
299,__aeabi_memcpy4,0x6604
300,__aeabi_memcpy8,0x6620
301,__wrap___cxa_end_cleanup,0x663c
302,memcpy,0x6658
303,_Unwind_GetGR,0x6674
304,_ZNK10__cxxabiv117__class_type_info11__do_upcastEPKS0_PKvRNS0_15__upcast_resultE,0x6690
305,_ZTSNSt3pmr15memory_resourceE,0x66ac
306,_GLOBAL__sub_I___cxa_get_globals_fast,0x66c8
307,_Unwind_SetGR,0x66e0
308,_ZN2ke23get_arm_exception_indexEv,0x66f8
309,_ZTVN3hal8cortex_m11dwt_counterE,0x6710
310,__restore_core_regs,0x6728
311,restore_core_regs,0x6740
312,__wrap___cxa_allocate_exception,0x6758
313,_ZN10__cxxabiv117__class_type_infoD1Ev,0x6770
314,_ZN10__cxxabiv117__class_type_infoD2Ev,0x6784
315,_ZN10__cxxabiv120__si_class_type_infoD1Ev,0x6798
316,_ZN10__cxxabiv120__si_class_type_infoD2Ev,0x67ac
317,_ZN10__cxxabiv121__vmi_class_type_infoD1Ev,0x67c0
318,_ZN10__cxxabiv121__vmi_class_type_infoD2Ev,0x67d4
319,_ZN3hal13set_terminateEPFvvE,0x67e8
320,_ZN3hal5lpc4025using_external_oscillatorEv,0x67fc
321,_ZN9__gnu_cxx20recursive_init_errorD1Ev,0x6810
322,_ZN9__gnu_cxx20recursive_init_errorD2Ev,0x6824
323,_ZNSt9bad_allocD1Ev,0x6838
324,_ZNSt9bad_allocD2Ev,0x684c
325,_ZSt9terminatev,0x6860
326,_ZTVN9__gnu_cxx20recursive_init_errorE,0x6874
327,_ZTVSt9bad_alloc,0x6888
328,_ZTVSt9exception,0x689c
329,strcmp,0x68b0
330,__gnu_Unwind_Resume_or_Rethrow,0x68c4
331,selfrel_offset31,0x68d8
332,_ZN10__cxxabiv111__terminateEPFvvE,0x68ec
333,_ZSt15get_new_handlerv,0x68fc
334,__gnu_Unwind_ForcedUnwind,0x690c
335,memset,0x691c
336,_GLOBAL__sub_I__ZN10__cxxabiv119__terminate_handlerE,0x692c
337,_ZNSt3pmr12_GLOBAL__N_110null_res_tD0Ev,0x693c
338,_ZNSt3pmr12_GLOBAL__N_112newdel_res_tD0Ev,0x694c
339,_ZNSt9exceptionD0Ev,0x695c
340,abort,0x696c
341,_ZTSSt9bad_alloc,0x697c
342,_ZTSSt9exception,0x698c
343,_ZTSSt9type_info,0x699c
344,_ZN2ke17current_exceptionEv,0x69ac
345,_ZN3hal13get_terminateEv,0x69b8
346,_ZN3hal23get_exception_allocatorEv,0x69c4
347,_ZN3hal23set_exception_allocatorEPNSt3pmr15memory_resourceE,0x69d0
348,_ZN9__gnu_cxx20recursive_init_errorC1Ev,0x69dc
349,_ZN9__gnu_cxx20recursive_init_errorC2Ev,0x69e8
350,_ZNK10__cxxabiv117__class_type_info20__do_find_public_srcEiPKvPKS0_S2_,0x69f4
351,_ZTIN10__cxxabiv117__class_type_infoE,0x6a00
352,_ZTIN10__cxxabiv120__si_class_type_infoE,0x6a0c
353,_ZTIN10__cxxabiv121__vmi_class_type_infoE,0x6a18
354,_ZTIN9__gnu_cxx20recursive_init_errorE,0x6a24
355,_ZTINSt3pmr12_GLOBAL__N_110null_res_tE,0x6a30
356,_ZTINSt3pmr12_GLOBAL__N_112newdel_res_tE,0x6a3c
357,_ZTISt9bad_alloc,0x6a48
358,_Unwind_decode_typeinfo_ptr.constprop.0,0x6a54
359,_ZNKSt3pmr12_GLOBAL__N_110null_res_t11do_is_equalERKNS_15memory_resourceE,0x6a60
360,_ZNKSt3pmr12_GLOBAL__N_112newdel_res_t11do_is_equalERKNS_15memory_resourceE,0x6a6c
361,_ZNSt3pmr12_GLOBAL__N_112newdel_res_t13do_deallocateEPvjj,0x6a78
362,__aeabi_atexit,0x6a84
363,__cxa_atexit,0x6a90
364,__wrap___cxa_begin_catch,0x6a9c
365,_ZGTtNKSt9exception4whatEv,0x6aa8
366,_ZN3hal5lpc4010oscillatorL15external_enableE,0x6ab0
367,_ZNKSt9bad_alloc4whatEv,0x6ab8
368,_ZNKSt9exception4whatEv,0x6ac0
369,_ZNSt3pmr12_GLOBAL__N_112newdel_res_t11do_allocateEjj,0x6ac8
370,_ZTINSt3pmr15memory_resourceE,0x6ad0
371,_ZTISt9exception,0x6ad8
372,_ZTISt9type_info,0x6ae0
373,_ZN3hal8cortex_m11dwt_counter16driver_frequencyEv,0x6ae8
374,_ZN3hal8cortex_m11dwt_counter22register_cpu_frequencyEf,0x6af0
375,_ZNSt3pmr12_GLOBAL__N_110null_res_t11do_allocateEjj,0x6af8
376,_ZdlPvjSt11align_val_t,0x6b00
377,__aeabi_unwind_cpp_pr0,0x6b08
378,__cxa_guard_abort,0x6b10
379,__cxa_guard_release,0x6b18
380,__wrap___cxa_call_unexpected,0x6b20
381,_exit,0x6b28
382,_ZN2ke22extract_si_parent_infoEPKv,0x6b30
383,_ZNKSt9type_info14__is_pointer_pEv,0x6b34
384,_ZNKSt9type_info15__is_function_pEv,0x6b38
385,_ZdlPv,0x6b3c
386,_ZdlPvSt11align_val_t,0x6b40
387,_ZdlPvj,0x6b44
388,_Unwind_DebugHook,0x6b48
389,_Z17terminate_handlerv,0x6b4c
390,_ZN12_GLOBAL__N_113constant_initD1Ev,0x6b50
391,_ZN12_GLOBAL__N_113constant_initD2Ev,0x6b54
392,_ZN2ke6get_luEPv,0x6b58
393,_ZN2ke8get_su16EPv,0x6b5c
394,_ZNSt3pmr12_GLOBAL__N_110null_res_t13do_deallocateEPvjj,0x6b60
395,_ZNSt3pmr12_GLOBAL__N_110null_res_tD1Ev,0x6b64
396,_ZNSt3pmr12_GLOBAL__N_110null_res_tD2Ev,0x6b68
397,_ZNSt3pmr12_GLOBAL__N_112newdel_res_tD1Ev,0x6b6c
398,_ZNSt3pmr12_GLOBAL__N_112newdel_res_tD2Ev,0x6b70
399,_ZNSt3pmr12_GLOBAL__N_113constant_initINS0_10null_res_tEED1Ev,0x6b74
400,_ZNSt3pmr12_GLOBAL__N_113constant_initINS0_10null_res_tEED2Ev,0x6b78
401,_ZNSt3pmr12_GLOBAL__N_113constant_initINS0_12newdel_res_tEED1Ev,0x6b7c
402,_ZNSt3pmr12_GLOBAL__N_113constant_initINS0_12newdel_res_tEED2Ev,0x6b80
403,_ZNSt3pmr12_GLOBAL__N_113constant_initISt6atomicIPNS_15memory_resourceEEED1Ev,0x6b84
404,_ZNSt3pmr12_GLOBAL__N_113constant_initISt6atomicIPNS_15memory_resourceEEED2Ev,0x6b88
405,_ZNSt3pmr15memory_resourceD1Ev,0x6b8c
406,_ZNSt3pmr15memory_resourceD2Ev,0x6b90
407,_ZNSt9exceptionD1Ev,0x6b94
408,_ZNSt9exceptionD2Ev,0x6b98
409,_ZNSt9type_infoD1Ev,0x6b9c
410,_ZNSt9type_infoD2Ev,0x6ba0
411,__retarget_lock_acquire_recursive,0x6ba4
412,__retarget_lock_release_recursive,0x6ba8
413,__wrap___aeabi_unwind_cpp_pr0,0x6bac
414,__wrap___gnu_unwind_pr_common,0x6bb0
415,__wrap___gxx_personality_v0,0x6bb4
416,__wrap__sig_func,0x6bb8
417,__wrap_deregister_tm_clones,0x6bbc
418,__wrap_register_tm_clones,0x6bc0
419,arm_halt_isr,0x6bc4
420,arm_ignore_isr,0x6bc8
421,__do_global_dtors_aux,0x6bcc
422,__do_global_dtors_aux_fini_array_entry,0x6bcc
423,__frame_dummy_init_array_entry,0x6bcc
424,__gnu_Unwind_Restore_VFP,0x6bcc
425,__gnu_Unwind_Restore_VFP_D,0x6bcc
426,__gnu_Unwind_Restore_VFP_D_16_to_31,0x6bcc
427,__gnu_Unwind_Restore_WMMXC,0x6bcc
428,__gnu_Unwind_Restore_WMMXD,0x6bcc
429,__gnu_Unwind_Save_VFP,0x6bcc
430,__gnu_Unwind_Save_VFP_D,0x6bcc
431,__gnu_Unwind_Save_VFP_D_16_to_31,0x6bcc
432,__gnu_Unwind_Save_WMMXC,0x6bcc
433,__gnu_Unwind_Save_WMMXD,0x6bcc
434,__init_array_end,0x6bcc
435,__init_array_start,0x6bcc
436,__preinit_array_end,0x6bcc
437,__preinit_array_start,0x6bcc
438,__text_end,0x6bcc
439,deregister_tm_clones,0x6bcc
440,frame_dummy,0x6bcc
441,register_tm_clones,0x6bcc
